repo, public_repo_exists, jenkins_job_status
https://github.com/SudhirRana/Bharuwa-Patanjali, false, red
https://github.com/SudhirRana/Bharuwa2, false, red
https://github.com/SudhirRana/PBRI-Ofbiz-Development, false, red
https://github.com/SudhirRana/Test-Patanjali-Development, false, red
https://github.com/Suff99/Regeneration, false, blue
https://github.com/SufficientlySecure/document-viewer, false, red
https://github.com/Sztigar/bytecode-editor, false, red
https://github.com/TNG/JGiven, true, red
https://github.com/Talend/components, false, red
https://github.com/Talend/daikon, false, red
https://github.com/Talend/tmdm-common, false, red
https://github.com/TechnicPack/LauncherCore, true, blue
https://github.com/TechnionYP5777/UpAndGo, false, red
https://github.com/Tencent/tinker, true, blue
https://github.com/Terracotta-OSS/terracotta-core, false, red
https://github.com/TheHortonMachine/hortonmachine, false, red
https://github.com/TinkerBoard2-Android/external_javaparser, false, not found
https://github.com/Transitime/core, false, red
https://github.com/Transkribus/TranskribusCore, false, red
https://github.com/Transkribus/TranskribusSwtGui, false, red
https://github.com/TuSDK/TuSDK-for-Android-demo, true, blue
https://github.com/UECIDE/UECIDE, false, not found
https://github.com/UNIVALI-LITE/Portugol-Studio, false, red
https://github.com/Ubhadiyap/Wavpay, false, red
https://github.com/UnderwaterApps/overlap2d, false, red
https://github.com/Unidata/IDV, false, not found
https://github.com/UniversalMediaServer/ums-crowdin, true, blue
https://github.com/Uranusboy/ofcms, false, not found
https://github.com/VIDA-NYU/ache, true, blue
https://github.com/Vertispan/j2clmavenplugin, false, red
https://github.com/Vipter/demo, false, red
https://github.com/WLIN534/UnCompress, false, red
https://github.com/Waikato/weka-3.8, false, not found
https://github.com/Waikato/weka-trunk, false, not found
https://github.com/WeBankPartners/wecube-platform, true, red
https://github.com/WebGoat/WebGoat, false, red
https://github.com/Wynntils/Wynntils, true, blue
https://github.com/Xilinx/RapidWright, false, red
https://github.com/YANG-DB/yang-db, true, red
https://github.com/Yelp/nrtsearch, false, red
https://github.com/YiJiuSmile/kkFileViewOfficeEdit, true, red
https://github.com/YuanYingChang/yuanRepository, false, red
https://github.com/ZTO-Express/zms, true, red
https://github.com/aNNiMON/Own-Programming-Language-Tutorial, true, blue
https://github.com/aSmartVehicle/app-android, false, not found
https://github.com/abhishekbasak/play-1.2.x-aspire, false, not found
https://github.com/adempiere/adempiere, false, not found
https://github.com/adminfaces/admin-designer, false, red
https://github.com/adobe/htl-tck, true, blue
https://github.com/afkT/DevUtils, false, red
https://github.com/afquinteroq/entrevistacaracterizacion, false, not found
https://github.com/afrl-rq/OpenAMASE, false, not found
https://github.com/ahj/ComicClean, true, blue
https://github.com/ak47wyh/boot-angular-filemanager, true, blue
https://github.com/albert-lii/SUtils, false, red
https://github.com/alexec/docker-java-orchestration, true, red
https://github.com/alibaba/Alink, false, red
https://github.com/alibaba/arthas, false, red
https://github.com/alibaba/canal, false, red
https://github.com/alibaba/tac, true, red
https://github.com/aliyun/aliyun-odps-console, true, red
https://github.com/allegro/grunt-maven-plugin, true, blue
https://github.com/ambiverse-nlu/ambiverse-nlu, false, red
https://github.com/anHALytics/anhalytics-core, true, red
https://github.com/andrew-hoffman/halfnes, false, red
https://github.com/andyglick/apache-ignite, false, red
https://github.com/andyglick/chronos-maven-plugins, true, red
https://github.com/angelozerr/tern.java, true, red
https://github.com/ant-media/Ant-Media-Server, false, red
https://github.com/anupk-adda/ak-nifi, false, red
https://github.com/anylogic/alogic, false, red
https://github.com/aosp-caf-upstream/platform_external_javaparser, true, red
https://github.com/apache/ace, false, red
https://github.com/apache/ant, false, not found
https://github.com/apache/ant-ivy, false, not found
https://github.com/apache/apex-core, true, red
https://github.com/apache/archiva, true, red
https://github.com/apache/aries, false, red
https://github.com/apache/asterixdb, false, red
https://github.com/apache/atlas, true, red
https://github.com/apache/axis-axis2-java-core, false, red
https://github.com/apache/bookkeeper, false, red
https://github.com/apache/brooklyn-server, true, red
https://github.com/apache/camel, false, red
https://github.com/apache/commons-compress, true, blue
https://github.com/apache/creadur-tentacles, true, blue
https://github.com/apache/druid, false, red
https://github.com/apache/dubbo, true, red
https://github.com/apache/felix-atomos, false, red
https://github.com/apache/flume, true, red
https://github.com/apache/geronimo-batchee, true, red
https://github.com/apache/hadoop-common, false, red
https://github.com/apache/hama, false, red
https://github.com/apache/hbase, false, red
https://github.com/apache/ignite, false, red
https://github.com/apache/incubator-batchee, true, red
https://github.com/apache/incubator-retired-slider, false, red
https://github.com/apache/incubator-sdap-mudrod, false, red
https://github.com/apache/incubator-twill, true, red
https://github.com/apache/jackrabbit-oak, false, red
https://github.com/apache/karaf, false, red
https://github.com/apache/karaf-cave, true, red
https://github.com/apache/maven-doxia-sitetools, true, red
https://github.com/apache/maven-shared, false, red
https://github.com/apache/maven-verifier, true, blue
https://github.com/apache/maven-wagon, true, red
https://github.com/apache/metamodel, true, red
https://github.com/apache/nifi, false, red
https://github.com/apache/nifi-maven, true, blue
https://github.com/apache/nifi-minifi, false, red
https://github.com/apache/ofbiz-framework, false, red
https://github.com/apache/ozone, false, red
https://github.com/apache/pinot, false, red
https://github.com/apache/rocketmq-streams, true, red
https://github.com/apache/royale-compiler, true, red
https://github.com/apache/servicemix-utils, true, blue
https://github.com/apache/servicemix4-nmr, false, red
https://github.com/apache/sling-org-apache-sling-feature-cpconverter, true, blue
https://github.com/apache/sling-org-apache-sling-feature-extension-unpack, true, blue
https://github.com/apache/stanbol, false, red
https://github.com/apache/stratos, false, red
https://github.com/apache/synapse, true, red
https://github.com/apache/systemds, false, red
https://github.com/apache/twill, true, red
https://github.com/apache/uima-uimaj, false, red
https://github.com/apache/uima-uimaj-io-jsoncas, true, blue
https://github.com/apache/zeppelin, false, red
https://github.com/approvals/ApprovalTests.Java, false, red
https://github.com/arduino/Arduino, false, not found
https://github.com/area515/Photonic3D, false, not found
https://github.com/arquillian/arquillian-cube, false, red
https://github.com/art-community/art-java, true, blue
https://github.com/asakusafw/asakusafw, false, red
https://github.com/astraube/taxiadv_android, true, blue
https://github.com/atlasmap/atlasmap, false, red
https://github.com/avbravo/jmoordb, false, red
https://github.com/awslabs/aws-codepipeline-plugin-for-jenkins, true, blue
https://github.com/ayltai/terraform-plugin, true, blue
https://github.com/azkaban/azkaban-plugins, false, not found
https://github.com/baidu/Elasticsearch, false, not found
https://github.com/bbossgroups/bboss, true, red
https://github.com/bdd/buck-test, false, not found
https://github.com/bdemers/maven-wrapper, true, blue
